time,x,u
2.000000000000000000e+00,-7.599999999999999645e+00,2.000000000000000111e-01
2.000000000000000000e+00,-7.400000000000000355e+00,2.000000000000000111e-01
2.000000000000000000e+00,-7.199999999999999289e+00,2.000000000000000111e-01
2.000000000000000000e+00,-7.000000000000000000e+00,2.000000000000000111e-01
2.000000000000000000e+00,-6.799999999999999822e+00,2.000000000000000111e-01
2.000000000000000000e+00,-6.599999999999999645e+00,2.000000000000000111e-01
2.000000000000000000e+00,-6.400000000000000355e+00,2.000000000000000111e-01
2.000000000000000000e+00,-6.199999999999999289e+00,2.000000000000000111e-01
2.000000000000000000e+00,-6.000000000000000000e+00,2.120455057924471587e-01
2.000000000000000000e+00,-5.799999999999999822e+00,2.421741432105398162e-01
2.000000000000000000e+00,-5.599999999999999645e+00,2.827239327555895465e-01
2.000000000000000000e+00,-5.399999999999999467e+00,3.242611962919292878e-01
2.000000000000000000e+00,-5.199999999999999289e+00,3.596011332206516808e-01
2.000000000000000000e+00,-5.000000000000000000e+00,3.838227610313176275e-01
2.000000000000000000e+00,-4.799999999999999822e+00,3.958602381870720555e-01
2.000000000000000000e+00,-4.599999999999999645e+00,3.995110895104528881e-01
2.000000000000000000e+00,-4.399999999999999467e+00,4.000000000000000222e-01
2.000000000000000000e+00,-4.199999999999999289e+00,4.000000000000000222e-01
2.000000000000000000e+00,-4.000000000000000000e+00,4.000000000000000222e-01
2.000000000000000000e+00,-3.799999999999999822e+00,4.000000000000000222e-01
2.000000000000000000e+00,-3.599999999999999645e+00,4.000000000000000222e-01
2.000000000000000000e+00,-3.399999999999999467e+00,4.000000000000000222e-01
2.000000000000000000e+00,-3.199999999999999289e+00,4.000000000000000222e-01
